story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"Hello,We are a group of Victor's family and friends and we are trying to
  help him raise funds to finance a trip overseas, to attend a medical
  centre that specializes in Stem Cell Treatments. The exact centre and
  the exact treatment are yet to be determined.This will depend on the
  amount of funds raised. There are many variables involved in this type
  of treatment, each with their own respective cost. An example would
  be, an Autologous  transplant (collecting a patient's own
  blood-forming stem cells), versus an Allogeneic transplant (collecting
  stem cells from a matching donor). Fortunately, it's a very hopeful
  time for people suffering from Multiple Sclerosis and other
  Auto-Immune diseases. There have been many success stories (some of
  which you can view on YouTube). This type of treatment is becoming
  mainstream in many countries around the world. Sadly for Victor,
  Canada is still in its developmental stage.Please take a moment and read a little bit about Victor's life and
  his battle with MS. If you can financially manage a small donation, it
  would be truly appreciated. A donation can be made right from this
  page. Victor will receive 95% of the funds, and this wonderful website
  will receive 5%. Whether you can donate or not, please be so kind as
  to pass this page along, via email or social media, to as many people
  as you can.  We thank you and are grateful for your support.Most of you visiting this fundraising page already know Victor, but
  for those of you who don't please let me introduce him. Victor is 59
  years old and has been fighting an uphill battle with Multiple
  Sclerosis for 26 years. It has been quite a battle but he has always
  fought with courage and grace.  Victor first felt the symptoms of MS
  shortly after completing his first and only triathlon.  Soon after
  that race, he was eager to begin training in hopes of improving upon
  his time in the next race. It was then that the symptoms hit him, and
  they had an immediate and devastating effect.  He went from running 17
  miles a day to not being able to run one block.In 1984, just after completing college, Victor found employment with
  the CIBC in the Savings Application Department as a Programmer. Two
  years later he transferred to Host Facilities as a Programmer.  His
  talents were recognized  and he was promoted to manage a group of 7
  programmers. His team was the infrastructure and the bank's
  applications ran on their software.Victor was prepared to leave the bank due to his MS in 1999 when the
  logistics of getting to work became difficult, but in the year 2000,
  (potential Y2K crisis) he stayed on to ensure all applications ran
  smoothly. Victor left his managerial position shortly after this
  period and is now supported, in part, by longterm disability benefits.In 2010, Victor, his wife Michelle and his brother Tony, all went to
  Egypt to have the CCSVI (Chronic Cerebrospinal Venous Insufficiency) -
  Liberation treatment.  As you can imagine it was a quite an expensive
  endeavor. The physical benefits Victor experienced were remarkable but
  some affects were short lived. At that point, in 2010, Victor hadn't
  been able to move his right leg for many years. Amazingly, just a few
  hours after doctors placed catheters and balloon inflation into his
  collapsed and blocked veins, Victor was able to raise that same leg
  into the air.  When he returned home we could all see improvement and
  thought he was on his way to recovery.  Even his horrific Trigeminal
  Neuralgia pain was greatly reduced. Trigeminal Neuralgia
    isconsidered to be one of the most painful afflictions known.
    It is characterized by episodes of excruciating stabbing or
    electrical shock-like pains which hit one side of the face. The
    episodes of pain usually last up to two minutes and may occur
    spontaneously or be triggered by light stimulation. Victor has
    endured this affliction daily for over a decade.The CCSVI results lasted for approximately one year.  We believe the
  vein in his neck collapsed and became blocked once more. Due to the
  delicate nature of veins (as opposed to arteries), stents cannot be
  used. There is a risk of the stent becoming dislodged, migrating along
  the blood vessels and becoming lodged in the heart or lungs.Prior to the MS, Victor lived a very healthy lifestyle and continues
  to do so today. Beginning day one, Victor has not benefitted with any
  traditional medicine for his symptoms. In fact all prescribed options
  to manage pain only exacerbated his leg weakness. Research has since
  determined that as varied as MS symptoms may present so too are the
  outcomes with medication for Primary Progressive Multiple Sclerosis.
  To support his wellness, Victor employs various holistic forms. Some
  of the modalities include: Hyperbaric Oxygen treatments; Live Blood
  Cell Analysis; Reichian therapy; Homeopathy; Naturopathic Medicine; as
  well as following a strict diet and supplement regime. The financial
  impact has been staggering, but Victor attributes his longevity to
  these natural treatments.The driving force that gives Victor strength to endure this battle is
  his love for his family; his wife Michelle, daughter Simone, and son
  Kristian. He once stated to me that if he were able to go back in
  time, he would gladly suffer MS again if it meant he could spend his
  life with Michelle, and participate fully with their children while
  they strive to achieve their own personal and professional
  aspirations.  Victor is proud that both Simone and Kristian are
  excelling in university with a shared goal to positively impact
  healthcare for others.In the bottom left-hand corner of the above profile photo, there is a
  link to additional photos. Please feel free to have a glimpse at the
  amazing life Victor has lived, and is living.We, Victor's friends and family, thank you!","30,754",,https://fundrazr.com/fundvictor,Help Victor Beat MS with Stem Cell Transplantation,148,"Jul 21, 2018",
"Hi there! My name is Katie and, like millions of others, I struggle
  with depression. As a professional dancer, choreographer, and dance
  instructor for all of my adult life, I've found time and time again
  that when I move my body, I feel a dramatic decline in my depression symptoms.I'm not talking about strenuous exercise (although an intense workout
  can help decrease symptoms as well), I am referring to dance. Or to be
  more specific, Restorative Dance. By performing gooey, calming, yet
  energizing movement, you are allowing your body the chance to begin
  healing. The easy-to-learn steps are a wonderful way to ease your
  symptoms of depression naturally.After concluding a Restorative Dance session, you'll immediately
  notice a rise in energy, mood, and confidence, increased range of
  motion, feeling more connected with your body, and let's not forget, a
  sense of accomplishment for simply taking part!Other benefits of dance include:Boosts Your MoodReduces StressReleases Tense MusclesIncreases Self-AwarenessImproves Balance and CoordinationGreater Self-Esteem...and much more.With your kind donation, I plan to create a Restorative Dance
  DVD—consisting of 3 different sessions as well as a guided
  meditation—and distribute it free of charge to the communities of
  recovery and mental health facilities throughout the country.Whether someone is dealing with depression, bipolar disorder,
  addiction, or anxiety, my aim is to provide a bit of relief to those
  in the process of healing.Thank you so very much in advance. Dance. It. Out!",200,,https://fundrazr.com/fightdepressionwithdance,Let's Fight Depression with Dance!,1,,
"My name is Maria del Rocio Garcia, and I have setup this Fundrazer
  page for my S/O (Significant Other/Fiance) Thomas Ernst.He was
  hospitalized with a aggressive tissue decaying infection in his left
  leg below the knee December 2016 with the initial diagnoses by several
  doctors to amputate the leg above the knee.Dr. Mar Chavira at
  Salvatierra hospital in La Paz did not share that opinion and
  initiated treatment and procedures to rescue the limb and avoid an
  pending amputation.The goal of this fundraising..if met...would
  cover our medical expenses incurred so far (+/-9,500,-US $) as well
  the cost of living / debt accumulated during the time of the illness
  and recovery without any income and would supply the funding required
  to find another rental moving to a better location with option to work
  for him (+/- 5500,-US $) Please read explanation in details further
  down and in theblogwe have started.Basically we are not capable on our own power to leave the
  sub-average lifestyle zone we are in right now and funding would
  provide a huge help to Thomas Ernst and me assisting to restart our
  life to a ""normal"", simple lifestyle level again.This
  is basically ""our story"" in a nutshell.Please read in
  detail below and may consider making a donation to allow T.E. to get
  back to work, to manage the significant debt accumulated from his
  battle with the infection.A donation of any kind will be greatly
  appreciated and would be a huge help. Also, please feel free to
  forward on the link to anyone you think might be interested in
  supporting the cause.Pleaseuse this contact formIf you have
  any questions. Otherwise, thank you for your time and consideration of
  this effort to help Thomas Ernst and
  me.---------------------------------------------------We
  do not have a professional background to create such fundraiser pages
  as this here in the proper way and writing.My English also has
  severe flaws and I apologize for that.It is work in progress as
  we been forced to change the fundraiser platform due to the
  circumstances that prior used crowdfund Youcaring merged with GoFundMe
  and by their policy is Mexico aNon-GoFundMe supported Country
    and they will shut down. You find info on thishereYou can see screenshots of received donations during the past 2
  weekshere on our blog.The prior campaign did not generate any support since put online June
  2017 until Maria and a local good Samaritan, Francisco Lopez, reached
  out at theBaja Nomads forumand made the
  situation known at the beginning of May 2018. Them folks made already
  a HUGE impact on our life. Having everyday ""real"" food
  (prior eating for weeks beans & rice or Marushan), all medical
  supplies required and having made some payments to most pressing debt
  collectors, have electricity and communication secured. All this is
  already a big relieve creating some breathing space.Also here
  you find the progress in several sets of images from December 2016 on
  until August 2017 when we had to see phone with camera used. Please be
  aware - some of this images are VERY graphical and not for everybody's
  stomach to view!!!Album - Gallery until August 2017here on Google documents.We have genuinely tried during the past 18 month to progress yet the
  combination of advancing the healing with ambulant treatment (the
  first 6 month 2-3x per week hospital visits), the cost of medication,
  medical supplies and transportation, basic cost of living - rent,
  electricity, telefon, food was in dimensions to large to cope for us.
  Ernst Thomas has no family or relatives, Maria has a small income from
  a clerical position in a hotel working night-shifts.We have sold any valuables to create funds, we have no vehicle. Ernst
  Thomas was still recovering from the impact hurricane Norbert and
  Odile created 2014.",135,,https://fundrazr.com/gofundmyleg,Leg amputation avoided! Need help to restart life!,5,,
"Brad and Jessica had their whole future planned.  He proposed to her
  in Punta Cana and were finalizing the plans of their September
  wedding.  Brad is a manager and known to be a dedicated hard worker in
  his fathers company, Abell Custom Marine.  Jessica is an office
  manager and surgical technician.  This beautiful young couple
  purchased a home together and had big plans for their new life
  together.....that all changed in an instant on April 14th when they
  were involved in a devastating automobile accident.Brad and Jessica were on their way back to Maryland from Ohio when a
  semi truck and trailer ran a stop sign causing Brad and Jessica's SUV
  to TBone the trailer head on. They were pinned under a trailer 
  carrying steel beams for over an hour until first responders could
  extract them.  The pictures are horrific and hard to look at it.  But
  it's the only way to see how truly lucky they were.It is a miracle they survived such a violent accident and their road
  to recovery is a long one...but at least they have a road.  Everyone
  who knows them feel truly blessed that somehow their lives were spared.Brad, an active outgoing young man,  suffered multiple compound
  fractures in both arms, shattered elbow, a fractured foot,  a severe
  concussion, multiple deep facial lacerations and almost every bone in
  his face is fractured.  He has already endured 2 extensive surgeries
  and more are scheduled. He will need facial reconstruction surgeries. 
  Jessica, can only be described as someone who can light up the darkest
  day has a fractured vertebrate, fractured cheek, multiple lacerations
  and head trauma.  She is improving every day but has a long ways to go.This fundraiser is set up to raise funds to help Brad and Jessica
  with their expenses during their long road to recovery.  Brad and
  Jessica's  severe and incapacitating injuries will prevent them from
  returning back to work anytime in the foreseeable future.  They both
  will have to extensive rehab and therapy.Our goal is to raise enough funds to cover their mortgage payment,
  living expenses and assistance for the next 12 months.  We want Brad
  and Jessica to only concentrate on their recovery and not worry about
  how they will pay their bills or if they will lose their home.  Any
  funds leftover will go towards medical, rehabilitation and physical
  therapy bills that are growing at an alarming rate.We are also planning a live fundraiser at a date to be determined to
  help us reach our goal.Please consider donating today.  Please share with family and friends!.....and please count your blessings and be thankful for every happy
  and healthy day you have as you never know what tomorrow will bring.#abellstrongFunds from this fundraiser will be managed by Brad's father Jeff
    Abell and Jessie's Mom Dawn Connell. All funds will go strictly to
    only paying expenses for Brad and Jessica.  For questions or
    additional information please email:bradandjessfund@gmail.comChecks can be mailed
    to P. O. Box 114 Edgewater MD 21037","34,539",,https://fundrazr.com/bradandjess,Please Help Brad & Jessica With Their Recovery!,88,,
"WHAT IS ENCHROMA?Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy.Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our onlinecolor vision testto assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information pleaseread the FAQs, learn aboutthe Enchroma technology and story, orcontact customer support.Check out these reactions",406,,https://fundrazr.com/41Lr76,Kevin Thank You Gift!!,21,,
"Helping “OUR HERO”...Theresa BrainardOur DEVOTED family member and AMAZING friend to many, is
    currently recovering from foot surgery, as well as five shoulder
    surgeries, and will shortly face a total knee replacement. Being
    unable to work during this difficult time, we all know the financial
    strain it can cause. So please, come out in support of a woman that
    we all know has supported each and every one of us!!!“Our Family”, Our Friend”, “OUR HERO!!!”Theresa BrainardPlease join us Saturday June 2nd, 2018 @ Famous Tim’s Tavern from
  7-9pm @ 5 Polly Drummond Shopping Center Newark, DETickets: $20 per person/ includes beer & pizza50/50, Chinese & Silent Auction!!! Stay tuned for previews!!!100% of proceeds to assist with Theresa’s medical cost!!!Contacts:aleciagharrar@gmail.com( Alecia)brainard1@comcast.net(Rose)302-999-0098.                   (Geri)pearljamfan_44@hotmail.com(Jill)","1,690",,https://fundrazr.com/f1LlX5,Helping “Our HERO”...Theresa Brainard,,,
"Smart, beautiful, loving, and caring. This is Marius!Since the age of 18, Marius was passionate about school, especially
  math and economics, going to school was the one thing he really wanted
  to do. Marius was so committed to his goals that he worked every day
  to earn the money he needed to go to college; he was determined not to
  just go to school, but to earn a Master’s degree in accounting. When
  he was done with school he planned on opening up an accounting office.Marius’s dream came to a screeching halt in 2016 when he was
  diagnosed with a serious illness. He suddenly found himself at the
  mercy of the medical establishment and as found that his employer
  would not accommodate the time Marius needed off from work to get
  treatment, so he lost his job.Even with this, Marius was not a quitter; his finals for his Master’s
  degree were right around the corner. Even though Marius felt dejected
  and his health was failing he finished his degree with honors.After completing his degree, and with renewed hope Marius set out to
  fight the illness that was ravaging his body, just like he had set out
  to go to school and get his degree. As he saw various doctors, it
  became clear that the prognosis was not good and that he needed to
  have surgery to stop the spread of the disease, which now had a name,
  cancer. Though Marius had never smoked and was not a drinker, he had
  Oral Cancer and only a radical surgery could save him.People often believe that you can’t get Oral Cancer unless you smoke,
  chew tobacco, drink excessively or have other lifestyle risk factors,
  but the American Cancer Society says 35% of the people who get this
  type of cancer have no risk factors.That means of the 100,000 people who get Oral Cancer every year, many
  never even imagined they could get the disease, because they weren’t
  doing any of the things they believe cause cancer. Men are also
  disproportionately affected by oral cancer with twice the risk for the
  disfiguring disease as women.Cancer is such a pervasive disease that almost everyone knows someone
  who has faced the disease. Our campaign“Save a Life Today -
    Marius Needs A Hero”is raising money needed to halt the
  rapid advance of cancer.One of the battles patients face with this cancer is that insurance
  does not always cover all of the surgery. Marius is facing this
  situation and as a young recent college graduate, with no income, he
  has to find a way to pay for his treatment. Already he has sought out
  every option for free treatment, but he has not found a program he
  qualifies for. In fact most options require him to be in the final
  stages of cancer where death is imminent to get help.The money that we hope to raise will cover the entire costs of
    surgery and treatment plan. This treatment plan includes full
    surgical removal of the cancerous cells and will also remove all of
    Marius’s teeth. Then, the reconstruction of Marius’s mouth and face,
    including implanting 14 teeth. Completing this surgery quickly will
    mean that Marius can avoid radiation and chemo therapy.If you ever wanted to be someone’s hero, YOU CAN, right now for
  Marius!  Instead of making a donation to a large organization where
  you hope it will help someone, you will be able to see the progress
  Marius makes as see how much of an impact your donation makes. You
  will be able to have a direct and positive impact on Marius’s life and
  help him move on from cancer into being a productive contributing
  member of society.Make a change in Marius’s liferNOWandclick on that donate button!To thank everyone for their support and care, Marius will be sending
  every one of his donors a copy of the novel he wrote called “Unspoken
  Words”. Right now Marius’s book has touched many lives and he has more
  than 10,000 5 star reviews.Help Marius to keep touching lives, but donating and sharing Marius’s
  Fundraising link on Facebook, Twitter and all of your other social
  media. Every Share will be a chance that another person with big heart
  , LIKE YOU , to make a donation and his life to be save it!WE CAN AND HAVE THE POWER TO SAVE MARIUS`S LIFE! Everyone has
    a role to play. You make a difference. Marius need a hero and YOU
    CAN BE HIS HERO! Any donation will be greatly appreciated!","13,163",,https://fundrazr.com/marius-needs-a-hero,Save A Life Today - Marius Needs A Hero,22,,
"WHAT IS ENCHROMA?Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy.Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our onlinecolor vision testto assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information pleaseread the FAQs, learn aboutthe Enchroma technology and story, orcontact customer support.Check out these reactions",130,,https://fundrazr.com/71LpBa,Help me get Enchroma glasses,5,,
"WHAT IS ENCHROMA?Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy.Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our onlinecolor vision testto assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information pleaseread the FAQs, learn aboutthe Enchroma technology and story, orcontact customer support.Check out these reactions",300,,https://fundrazr.com/b1MGA5,Help us allow VFW to see COLOR!!,4,"Jun 24, 2018",
"CANCER: Six letters that unhinge your world and
  unleash a roller coaster of emotions. The diagnosis is scary, the
  fight is expensive. Our brother, Rich Brahm, was recently diagnosed
  with a rare and aggressive form of lymphoma called mantle cell
  lymphoma. It is throughout Rich’s large colon, involves some of his
  small intestine and his PET scan revealed at least 20 affected areas
  including brain tissue, lungs, heart, and lower extremities. This came
  out of nowhere and we are praying for a miracle.We are inviting you to be part of that miracle!  Rich and Lisa need
  financial help for medical expenses along with travel and housing
  expenses. Rich was accepted into a clinical trial in Stanford, CA.
  Rich and Lisa make their home in Atlanta, GA, so 4 months in CA will
  be expensive. Join us in surrounding Rich and Lisa with hope,
  financial resources and love.Rich will begin Phase 2 of his battle with MCL. The previous funds
  raised were exhausted during the CA Stanford Trial.  A new fight
  begins with new expenses.  Please share your prayers and financial
  support to encourage Rich and Lisa on this renewed battle.","12,369",,https://fundrazr.com/dta2e,"Rich's Cancer Returns, A New Fight with New Needs",88,,
"Tiffany Johnson (our beloved Psychic Tiff) suffered a stroke on Friday afternoon January 18th, 2013.  She was immediately rushed to the hospital where CT and MRI confirmed our worst fears; it was a massive Arterial Dissection.Arterial dissection refers to the abnormal formation of a tear along the inside wall of an artery. As the tear becomes larger, it forms a small pouch which doctors call a “false lumen.”Blood pools inside the wall of the artery until it begins to impede blood flow. The blood inside the false lumen can clot and extend slowly into the area where blood normally flows. This can limit or completely interrupt blood flow to a part of the brain. Small pieces from the growing blood clot can break off, flow upstream, and become trapped inside a smaller artery in the brain.Tiffany underwent a 5 hour surgery to save her life. She was then taken to ICU where we prayed the worst might be over and recovery could begin. Within 24 hours her brain swelling became so severe a second operation was required to once again save her life.  A portion of her skull had to be removed in order to make room for the brain to swell without doing further damage.The prognosis at this point was grim, the family was told that she may not survive, but we all had hope.  Tiffany just turned 40 years old is in peak physical condition, if anyone had a shot at beating this, it was her.CT scans we're performed every 24 hours and a team of doctors, surgeons and nurses monitored her 24/7.Tiffany was giving us small signs that she was fighting and seemed to understand what was happening.   Within a few hours of her second surgery she actually gave us the ""thumbs up"" – our hope and optimism soared.She spent several days in ICU hooked up to various machines and was being administered powerful medications.  She was then moved to progressive care where she spent several more days under 24 hour care.  She was far from out of the woods at this point but remained stable and was continuing to fight.Tiffany stabilized enough to be moved to a standard care room where she spent several, more days.  She was heavily sedated and unable to communicate, but as the fog began to lift the doctors we’re able to determine the extent of her injuries, and the news was saddening.  About 2/3 of the right brain hemisphere had died due to lack of oxygen.  She was paralyzed on her left side and had no feeling in or use of her left arm and left leg.  Her speech was almost non existent and there appeared to be serious vision problems.  We were told some of these symptoms might improve once the brain swelling stopped and began to subside.After 6.5 days of being virtually comatose Tiffany opened her eyes and was able to mouth a few words.  She still had use of her right arm and leg and was able to point out her needs and areas of pain.  It was at this point we finally received some positive news, Tiffany was able to swallow.  Had she lost this function her future would have taken a very different direction.  We began to feed her spoonfuls of juice and her favorite, ice chips. With each passing day she was able to speak a few more words and we were thrilled to realize that she knew what month and year it was, she knew her birth date, her husbands name and more.  Tiffany was still there but trapped in a body she no longer had control over.  On Day 12 Tiffany was transferred to the Rehabilitation Center in the hospital where she will remain indefinitely.Tiffany’s story remains unwritten but we believe she was chosen for a very specific reason.  Many believe Tiffany is a living breathing angel of God.  During her career as a Psychic, Author, Speaker and Healer she has affected thousands of people in a very positive way.  She has changed lives for the better and the world is a better place because she is in it.  She has brought inspiration and hope to so many but we believe her story of recovery will be the most inspiration gift of all.  Tiffany will shine & sparkle once again, but the journey will be long and difficult.Its clear Tiffany’s future is forever changed.  If she is able to return home someday she will require 24/7 nursing care for several months.  Her home will need to be modified to accommodate her disabilities.  Special equipment, beds and safety features will be required.  God willing she is able to drive a car again she will need a special vehicle with handicap capabilities.  There will be countless doctor visits, ongoing physical, occupational and speech therapies along with various medications to give her the best shot at a full life. Tiffany was also self employed and will no longer be able to run her business for an indefinite amount of time.Tiffany has got this far due to her strength and her will to survive.  The overwhelming support has given Tiffany and her family optimism and strength but the journey is far from over.Please support and donate to Tiffany's recovery.","18,060",,https://fundrazr.com/3QfEf,Tiffany Smith Johnson Stroke Fund,,,
"WHAT IS ENCHROMA?Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color accuracy.My name is Joe, I'm ex-military, I'm a student working towards
  being a motorcycle mechanic, and I have color-blindness.  Growing up I
  always had issues with certain colors, purple was a big one.  When I
  joined the Coast Guard they diagnosed me with color vision deficiency
  in my medical screening which severely limited my job selection. 
  While I was enlisted I found many scenarios where I simply could not
  perform a task due to being unable to detect a color; i found out
  ships have red and green colored running lights so you could tell
  their heading at a distance at night, I just thought they were white
  lights.  In my new chosen career field im facing new challenges that
  stem from this issue: in our modern age motorcycles are increasingly
  complex, with more and more wires as more things become controlled by
  onboard computers, all color coded and many with slim 'tracer' lines
  in a different color that are very difficult to see in low light or
  even with flashlights.  If a wiring diagram tells me im looking for a
  certain color wire and i cant pick it out of the mess of wires i cant
  do a repair, which is a very costly delay in a job where any wasted
  time comes right out of your pocket.With a pair of Enchroma glasses I could finally be on a more level
  playing field for a job I've dreamed of having for years, and finally
  have a chance at doing.  Below is some information on Enchroma
  glasses, and I hope that after reading this you'll find it in your
  heart to help me.  Thank you.Enchroma glasses are an optical assistive device; they are not a
  cure for color blindness. Results vary depending on the type and
  extent of color vision deficiency per individual. The glasses are
  estimated to be effective for 4 out of 5 cases (80%) of red-green
  color vision deficiency – prospective users are encouraged to take our
  onlinecolor vision testto assess the likelihood of
  efficacy. Enchroma does not endorse use of the glasses to pass
  occupational screening tests such as the Ishihara test. For more
  information pleaseread the FAQs, learn aboutthe Enchroma technology and story, orcontact customer support.Check out these reactions",135,,https://fundrazr.com/41M1I0,Enchroma glasses for an aspiring mechanic,4,"Jul 11, 2018",
"Hey y’all, this is Julia!I’m writing this for my amazing fiancé, Austin! At first glance you would never know that there is anything wrong with him, but there is.Austin has a red/green & blue/yellow color deficiency which prevents him from seeing all of the amazing colors that everyone else sees! He has always talked about finding a way to allow him to see the beauty in the every day world and I think I have found a solution~ Enchroma Glasses! I have desperatly been trying to save up the money to purchase him a pair, but sadly something always seems to come up preventing me from doing so. You see, he is an incredibly hard working man who is always working to provide for our family. He deserves this so much and it breaks my heart to see him get frustrated when someone asks him to retrieve an item of certain color and he struggles to find it. Recently, we had a gender reveal for our son who is coming into this world sometime during September 2018. We had a balloon filled with blue confetti, and when the balloon popped Austin thought the confetti was pink until I whispered in his ear that he was indeed getting his baby boy. I want nothing more then to be able to purchase him a pair.I have said nothing to him of what I'm trying to do, so this will be a complete surprise! Thank you and have a blessed day!",130,,https://fundrazr.com/81MAW3,Help Austin get Enchroma glasses,4,,
"On May 15th, 2017 I was in an ATV accident resulting in a surgery to
  place a plate and screws into my leg. On July 1st a severe bone
  infection was discovered and treatment with IV antibiotics began. I
  was then transported from a hospital in Pagosa Springs, CO to San Juan
  Regional Medical Center in Farmington, NM. Since my initial operation
  on May 15th, she has had 9 operations and will have at least 3 more.The first was to clean the wound. The second was a follow-up surgery
  to ensure maximum cleanliness. After a couple of days, the doctor
  noticed a blister that forming on my wound so he preformed another
  operation. This time, to remove the plate and 8 screws that had gotten
  infected. The doctors later found that my bone had started getting
  infected where the hardware was initially placed so they performed
  another surgery to put an antibiotic rod in her bone meant to treat my
  inner bone infection.The last 9 months have been some of the most physically painful days
  I’ve ever had to face to date and I will need additional surgeries to
  get a bone graph and to remove this external fixator that I currently
  have on my right leg. I will have to wear this fixator for 8 more
  months to ensure my leg heals correctly. It has been painful both
  mentally and physically.This would've been my 8th year as a wildland firefighter, which is a
  major source of my primary income. I am and be unemployed until my
  recovery is complete.The monies being raised are to assist my family with gas, food, and
  lodging as they travel three hours each way to and from Dulce, NM to
  Albuquerque, NM for additional appointments as well as surgeries. They
  will also assist myself with bills as I am unable to work during my
  recovery period.I am a member of the Jicarilla Apache Nation and International
  Indigenous Youth Council. I defended the water for several weeks in
  Standing Rock, ND and recently completed a lengthy art project for
  Honor the Earth. Any support to help me as I recover this period is
  greatly appreciated. Please help me get back on my feet so I can help
  my brothers and sisters to protect this land and help our native
  communities. Thank you, Kris.",942,,https://fundrazr.com/51L9Q5,Help get Kris back on her feet.,14,,
"Sebastian Major is 16 years old. He is a loving, caring young man who
  enjoys reading, video games, hanging out with his friends, and, like
  most kids, fighting with his brother and sister.In October 2011, Sebastian was diagnosed with Stage IV
  Neuroblastoma, a cancer that starts in the nerve cells, and is rarely
  found in children over the age of 4. He is nearing the end of a long,
  difficult road.His initial treatments were at St. Louis
    Childrens. He has endured 6 rounds of high-dosage chemotherapy, a
    bone marrow transplant, 18 bone marrow biopsies, a major surgery to
    remove a large mass from his abdomen, and countless tests and scans.
    He had 2 rounds of mibg radiation therapy in Cincinnati, OH, and 40
    rounds of palliative radiation at Carle Hospital in Champaign, IL.
    He also received treatment at Comer Children's Hospital in Chicago,
    where he had a team of oncologists who specialize in Neuroblastoma.
    We were unable to improve his disease. In July 2014, following
    complications due to chemo, Sebastian decided to stop treatment.
    He's been on hospice care ever since then.","4,830",,https://fundrazr.com/BastianHope,Hope For Sebastian,,,
"MY COLORBLIND STORYMy kindergarten teacher used flash cards to teach us the colors,
  numbers, and letters. I learned the letters and numbers quickly, but I
  had a lot of difficulty learning the colors. I didn't understand why
  something that came so easy to the other kids was so difficult for me.
  My teacher noticed my frustration and pulled me aside to teach me the
  colors one-on-one. She noticed that I was getting a lot of the colors
  right but there were a few that I would mix up: green and brown, blue
  and purple, orange and red. She quickly concluded that I must be
  colorblind. She told me that it's okay that I was getting some colors
  wrong because there were some colors my eyes just couldn't see.It
    wasn’t my fault.She let my parents know her discovery and my
  mom said that her father is colorblind and so I must have gotten it
  from him.Luckily for me, my colorblindness is not very severe. I grew up and
  went through school like a normal kid.Sometimes I would use the
    wrong colors and draw a tree with brown leaves and a green
  trunk, but usually I did a good job of asking a friend or a
  teacher what color something was if I wasn’t sure. To this day I pick
  colors based on their names or RGB codes instead of how they “look”
  since I can’t trust my eyes to tell me the right thing.In high school I took a color vision test online. Color vision tests
  consist of a bunch of dots on a screen where certain letters or
  numbers are visible or invisible depending on what type of color
  vision you have. Based on what things I could and could not identify
  in each image, the test concluded that I havedeuteranomaly,
  meaning that I can see green but not very well. Basically I can see
  100% of blues, 50% of reds, and 25% of greens.I would like to get Enchroma color vision corrective glasses so that
  I can see greens and reds better. I would love to see how vivid green
  grass really is. I would love to see the deep red color of heart
  emojis.I want to see a rainbow in full color for the first
  time.That is why I need your help to raise money to get the
  Enchroma glasses. Please contribute if you can. Every little bit counts!WHAT IS ENCHROMA?Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy.Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our onlinecolor vision testto assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information pleaseread the FAQs, learn aboutthe Enchroma technology and story, orcontact customer support.",279,,https://fundrazr.com/b1M8ma,Help Garrett See Colors,8,"Jun 16, 2018",
